Wall time,Step,Value
1495005695.7535882,26827,0.9375
1495005695.7565207,26829,0.90625
1495005695.9442244,26928,0.8828125
1495005696.275634,27078,0.9375
1495005696.350913,27142,0.8984375
1495005696.3587334,27148,0.953125
1495005696.3655853,27154,0.9375
1495005696.3704634,27158,0.9375
1495005696.3724215,27159,0.9375
1495005696.467247,27234,0.875
1495005696.5141833,27274,0.9375
1495005696.581628,27329,0.9453125
1495005696.7243707,27449,0.9140625
1495005696.8260338,27457,0.921875
1495005696.8827355,27505,0.9375
1495005696.9589882,27569,0.90625
1495005696.9638872,27572,0.953125
1495005697.004956,27603,0.9453125
1495005697.0176554,27613,0.875
1495005697.0274217,27620,0.9375
1495005697.049917,27638,0.8984375
1495005697.116385,27695,0.9140625
1495005697.1672308,27739,0.9296875
1495005697.268892,27825,0.921875
1495005697.4693036,27916,0.921875
1495005697.4712603,27918,0.859375
1495005697.5093856,27950,0.9609375
1495005697.5299168,27968,0.890625
1495005697.8857694,28251,0.90625
1495005697.9180393,28277,0.8984375
1495005698.0627172,28321,0.90625
1495005698.1262722,28376,0.890625
1495005698.2025156,28438,0.8984375
1495005698.2191348,28451,0.9140625
1495005698.3296163,28543,0.9296875
1495005698.3638349,28572,0.9375
1495005698.4107473,28611,0.890625
1495005698.4840693,28676,0.9453125
1495005698.8428671,28891,0.890625
1495005698.9523475,28970,0.9296875
1495005698.9875407,28996,0.9140625
1495005699.0168707,29018,0.9296875
1495005699.0393548,29037,0.953125
1495005699.0628183,29057,0.921875
1495005699.069673,29062,0.9375
1495005699.0902057,29078,0.9140625
1495005699.1048648,29090,0.90625
1495005699.1244085,29106,0.9296875
1495005699.1566718,29133,0.90625
1495005699.3287303,29201,0.9375
1495005699.40205,29263,0.9296875
1495005699.4118276,29271,0.921875
1495005699.6611183,29471,0.90625
1495005699.6689496,29478,0.921875
1495005699.679704,29487,0.90625
1495005699.740306,29537,0.96875
1495005699.743252,29540,0.9375
1495005699.769634,29561,0.8828125
1495005699.7842984,29573,0.9453125
1495005699.8067932,29592,0.921875
1495005699.9231188,29611,0.890625
1495005700.1039782,29747,0.8203125
1495005700.2613773,29828,0.921875
1495005700.2633302,29829,0.9375
1495005700.3210082,29863,0.8828125
1495005700.3659797,29882,0.953125
1495005700.4500625,29928,0.921875
1495005700.594743,30000,0.9609375
1495005700.601586,30005,0.9375
1495005700.7648482,30031,0.9453125
1495005700.845011,30077,0.9375
1495005700.8694656,30092,0.921875
1495005700.9955637,30174,0.9140625
1495005701.0679107,30217,0.890625
1495005701.1138563,30243,0.9296875
1495005701.1334078,30256,0.921875
1495005701.1813126,30284,0.8984375
1495005701.2526765,30327,0.921875
1495005701.43647,30434,0.890625
1495005701.6016893,30459,0.8828125
1495005701.6173296,30466,0.9453125
1495005701.623194,30470,0.9453125
1495005701.7874348,30569,0.90625
1495005701.7972102,30572,0.890625
1495005701.8617322,30612,0.921875
1495005702.0073977,30706,0.9140625
1495005702.0337932,30720,0.9140625
1495005702.0621476,30738,0.9140625
1495005702.1276438,30780,0.921875
1495005702.2684336,30879,0.9375
1495005702.682928,31052,0.953125
1495005702.7670045,31105,0.921875
1495005702.908769,31224,0.921875
1495005703.2137892,31406,0.9375
1495005703.265599,31443,0.8828125
1495005703.2958953,31464,0.8984375
1495005703.3398864,31501,0.9140625
1495005703.3829124,31537,0.9140625
1495005703.4914181,31625,0.9140625
1495005703.5754926,31696,0.921875
1495005703.6097102,31722,0.890625
1495005703.7524405,31762,0.9375
1495005703.817941,31808,0.953125
1495005703.910815,31873,0.8828125
1495005703.919613,31880,0.9140625
1495005703.9303772,31888,0.9296875
1495005703.991958,31936,0.9140625
1495005704.0036888,31945,0.9453125
1495005704.0750537,32004,0.953125
1495005704.0906963,32017,0.9375
1495005704.2627559,32162,0.8984375
1495005704.2774203,32174,0.9296875
1495005704.4133086,32207,0.90625
1495005704.4621894,32249,0.875
1495005704.5472417,32314,0.9140625
1495005704.6371834,32388,0.9375
1495005704.693886,32435,0.90625
1495005704.7369013,32471,0.9296875
1495005704.7701392,32500,0.90625
1495005704.8043568,32529,0.9140625
1495005704.819021,32542,0.9140625
1495005704.8229313,32545,0.9140625
1495005704.9910948,32611,0.9375
1495005704.9949918,32614,0.890625
1495005705.0448484,32657,0.9375
1495005705.1035073,32706,0.921875
1495005705.1797595,32762,0.9296875
1495005705.3332465,32894,0.9296875
1495005705.3410664,32901,0.9140625
1495005705.3430324,32902,0.921875
1495005705.350842,32909,0.8984375
1495005705.4632788,33002,0.8984375
1495005705.4769654,33014,0.9296875
1495005705.4925966,33027,0.9375
1495005705.5923133,33034,0.9609375
1495005705.731135,33148,0.9296875
1495005705.7360246,33152,0.9296875
1495005705.7702403,33179,0.953125
1495005705.772205,33181,0.8984375
1495005705.8543248,33248,0.921875
1495005705.8816984,33271,0.8515625
1495005705.9647849,33341,0.953125
1495005705.977495,33351,0.8984375
1495005705.997046,33368,0.9453125
1495005706.005845,33375,0.90625
1495005706.0087776,33378,0.9375
1495005706.0381062,33403,0.9375
1495005706.289354,33539,0.9296875
1495005706.402768,33631,0.9375
1495005706.4125328,33638,0.90625
1495005706.518126,33728,0.9375
1495005706.5288806,33737,0.9296875
1495005706.5425668,33749,0.890625
1495005706.565042,33768,0.8828125
1495005706.585572,33785,0.9765625
1495005706.60416,33800,0.9296875
1495005706.6501045,33839,0.9375
1495005706.6657364,33851,0.875
1495005706.695064,33876,0.9453125
1495005706.8211772,33906,0.8671875
1495005706.8299775,33913,0.9375
1495005706.8974316,33971,0.9765625
1495005706.954134,34017,0.890625
1495005706.9795609,34036,0.9296875
1495005706.9883592,34043,0.890625
1495005707.0450613,34089,0.8984375
1495005707.1076179,34141,0.9296875
1495005707.1115294,34144,0.921875
1495005707.1525884,34179,0.8828125
1495005707.3031425,34306,0.8671875
1495005707.3060844,34309,0.9140625
